[Fri Oct 17 00:15:34.835 2008] 0.001 sec [all/1/ext 2 (1,1)] [*] fun
[Fri Oct 17 00:15:48.498 2008] 0.000 sec [all/1/ext 2 (1,1)] [*] fun
[Fri Oct 17 00:15:59.691 2008] 0.000 sec [all/1/ext 2 (1,1)] [*] fun
[Fri Oct 17 00:16:51.479 2008] 0.001 sec [scan/1/ext 5 (0,1)] [*] 
[Fri Oct 17 00:17:51.771 2008] 0.000 sec [scan/1/rel 5 (0,20)] [*] 
[Fri Oct 17 00:19:00.949 2008] 0.000 sec [scan/1/rel 5 (0,20)] [*] 
[Fri Oct 17 00:23:58.041 2008] 0.000 sec [scan/1/rel 5 (0,1)] [*] 
[Sun Oct 19 23:17:55.814 2008] 0.022 sec [all/1/attr+ 2 (0,1)] [*] fun
[Sun Oct 19 23:18:14.466 2008] 0.000 sec [all/1/attr+ 2 (1,1)] [*] fun
[Sun Oct 19 23:18:19.926 2008] 0.000 sec [all/1/attr+ 2 (0,1)] [*] superman
[Sun Oct 19 23:20:52.346 2008] 0.000 sec [all/1/attr+ 2 (0,20)] [*] superman
[Sun Oct 19 23:21:14.543 2008] 0.000 sec [all/1/attr+ 2 (0,20)] [*] superman
[Sun Oct 19 23:22:05.245 2008] 0.000 sec [all/1/ext 2 (0,20)] [*] superman
[Sun Oct 19 23:22:16.741 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Sun Oct 19 23:23:28.487 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Sun Oct 19 23:28:25.902 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Sun Oct 19 23:36:37.384 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Sun Oct 19 23:37:49.961 2008] 0.000 sec [all/1/attr+ 2 (0,1)] [*] fun
[Sun Oct 19 23:38:10.043 2008] 0.000 sec [all/1/attr+ 2 (0,20)] [*] fun
[Sun Oct 19 23:39:24.343 2008] 0.000 sec [all/1/ext 2 (0,20)] [*] fun
[Sun Oct 19 23:39:33.278 2008] 0.001 sec [all/1/ext 2 (0,20)] [*] superman
[Mon Oct 20 00:02:43.348 2008] 0.000 sec [all/1/ext 2 (0,20)] [*] superman
[Mon Oct 20 00:03:00.519 2008] 0.000 sec [all/1/ext 2 (0,1)] [*] superman
[Mon Oct 20 00:04:23.889 2008] 0.000 sec [all/1/ext 2 (0,20)] [*] fun
[Tue Oct 21 15:19:48.922 2008] 0.027 sec [all/1/ext 2 (0,20)] [*] fun
[Tue Oct 21 15:19:55.000 2008] 0.000 sec [all/1/ext 2 (0,20)] [*] fun
[Sun Oct 26 18:24:15.055 2008] 0.013 sec [all/1/ext 2 (0,20)] [*] accurst
[Sun Oct 26 18:24:32.324 2008] 0.000 sec [all/1/ext 0 (0,20)] [*] apple
[Sun Oct 26 18:24:36.761 2008] 0.000 sec [all/1/ext 21 (0,20)] [*] abate
[Sun Oct 26 18:25:04.238 2008] 0.001 sec [all/1/ext 6 (0,20)] [*] abacus
[Sun Oct 26 18:27:12.462 2008] 0.001 sec [all/1/ext 2 (0,20)] [*] accurst
[Tue Oct 28 00:02:57.552 2008] 0.000 sec [all/1/ext 0 (0,20)] [*] super
[Tue Oct 28 00:03:07.388 2008] 0.000 sec [all/1/ext 0 (0,20)] [*] fan
[Tue Oct 28 00:03:13.539 2008] 0.071 sec [all/1/ext 2 (0,20)] [*] z
[Tue Oct 28 00:03:32.905 2008] 0.001 sec [all/1/ext 238 (0,20)] [*] water
[Tue Oct 28 00:03:54.973 2008] 0.000 sec [all/1/ext 0 (0,20)] [*] funny
[Tue Oct 28 00:04:02.964 2008] 0.000 sec [all/1/ext 2 (0,20)] [*] crazy
[Tue Oct 28 00:10:23.469 2008] 0.000 sec [all/1/ext 0 (0,20)] [*] soccer
[Tue Oct 28 00:11:40.983 2008] 0.000 sec [all/1/ext 0 (0,20)] [*] soccer
[Tue Oct 28 00:12:09.981 2008] 0.000 sec [all/1/ext 0 (0,20)] [*] soccer
[Tue Oct 28 00:13:43.761 2008] 0.000 sec [all/1/ext 0 (0,20)] [*] soccer
[Tue Oct 28 00:14:20.425 2008] 0.000 sec [all/1/ext 0 (0,20)] [*] soccer
[Tue Oct 28 00:14:55.695 2008] 0.000 sec [all/1/ext 0 (0,20)] [*] soccer
[Tue Oct 28 00:16:11.995 2008] 0.000 sec [all/1/ext 0 (0,20)] [*] basketball
[Tue Oct 28 00:17:17.488 2008] 0.000 sec [all/1/ext 0 (0,20)] [*] basketball
[Tue Oct 28 00:17:40.944 2008] 0.000 sec [all/1/ext 1 (0,20)] [*] baseball
[Tue Oct 28 00:24:00.452 2008] 0.000 sec [all/1/ext 14 (0,20)] [*] passion
[Tue Oct 28 00:24:25.743 2008] 0.000 sec [all/1/ext 14 (0,20)] [*] passion
